,Nodes,Edges,Diameter,Avg_Degree,Avg_SPL,Density,Clustering_Coefficient,Normalized_Number_of_Loops,Modularity_Index,Avg_Degree_Centrality,Avg_Betweenness_Centrality,Avg_Closeness_Centrality,Avg_Eigenvector_Centrality,Algebraic_Connectivity,Assortativity,Rich_Club_Coefficient,Transitivity,Global_Efficiency,Local_Efficiency,CV,Gini_Degree,Degree_Variance,Meshedness,Gini_Betweenness,Gamma_Index
WashingtonDc,91.0,93.0,28.0,2.043956043956044,11.508669108669109,0.02271062271062271,0.0,0.03296703296703297,0.5672910163024628,0.02271062271062271,0.1180749338052709,0.09273747451556545,0.05100230332474952,0.011086121808167258,0.03337997201679053,0.06763753222086555,0.0,0.13929150141053523,0.0,0.30696994459398275,0.1173342786246012,0.39367226180412995,0.01694915254237288,0.4525208484263164,0.34831460674157305
Boston,114.0,115.0,34.0,2.017543859649123,13.954044403043005,0.01785437043937277,0.005847953216374269,0.017543859649122806,0.5662759924385633,0.017854370439372765,0.11566111074145544,0.07617755672986216,0.032984746091952406,0.004896828184298183,0.31989247311828006,0.15807373303565048,0.022222222222222223,0.115610450571246,0.005847953216374269,0.2783967059753413,0.10350877192982456,0.31548168667282245,0.008968609865470852,0.4988168402717546,0.34226190476190477
Chicago,143.0,149.0,43.0,2.0839160839160837,15.992416034669557,0.014675465379690732,0.02121212121212121,0.04895104895104895,0.5717535246160083,0.01467546537969073,0.10632919173524508,0.0671465827187454,0.026683359181953935,0.003954714098521255,0.21364202140901148,0.0700411655147705,0.06153846153846154,0.10417541192561537,0.022027972027972027,0.32844790075817876,0.10653775754446895,0.46848256638466435,0.02491103202846975,0.4681057433852766,0.35224586288416077
Delhi,205.0,216.0,54.0,2.107317073170732,17.082926829268292,0.010329985652797705,0.0,0.05853658536585366,0.5454711076817558,0.010329985652797703,0.07922624053826745,0.06167615231874352,0.027534265921262003,0.004430226807529446,-0.1081739130434775,0.009252571680670243,0.0,0.09262382592815953,0.0,0.26851851851851855,0.09019873532068653,0.3201903628792386,0.02962962962962963,0.40228773738967566,0.35467980295566504
Tokyo,223.0,268.0,32.0,2.403587443946188,10.642548377974387,0.010826970468226074,0.023332621538899565,0.2062780269058296,0.5324543328135442,0.01082697046822607,0.04363144062431849,0.10081851839435386,0.028205989762213696,0.009722112345108986,0.18772554661886448,0.054247351598620326,0.04633204633204633,0.1341614031906645,0.023332621538899565,0.4692451624678119,0.1915199785824242,1.272094753564319,0.10430839002267574,0.5240883282670181,0.4042232277526395
Paris,302.0,358.0,34.0,2.370860927152318,11.976876196343314,0.007876614375921322,0.015689057079785556,0.18874172185430463,0.565037764114728,0.007876614375921324,0.03658958732114439,0.0877194540768792,0.02015012126050958,0.011265262008711203,-0.02802608665961053,0.010134943404438266,0.03115727002967359,0.11515615970089871,0.01607537054556922,0.4646285120319944,0.18994413407821228,1.213455550195167,0.09515859766277128,0.5463869968935084,0.3977777777777778
Shanghai,345.0,397.0,45.0,2.301449275362319,16.002662622177283,0.0066902595214020895,0.008599033816425121,0.1536231884057971,0.5372884797187978,0.0066902595214020895,0.04373954117252852,0.06722832599863728,0.019608652096158457,0.004992779598712124,0.19743283727500768,0.06688155316165463,0.022321428571428572,0.09258358335251013,0.008599033816425121,0.4123103317351385,0.1643485562004892,0.9004326822096199,0.07737226277372262,0.49007705774202964,0.3858114674441205
London,369.0,430.0,39.0,2.330623306233062,13.732738305643926,0.006333215506068104,0.02944896115627823,0.16802168021680217,0.5787506760411033,0.006333215506068103,0.03469410982464285,0.07700966107415387,0.01716735201106766,0.007198872208202759,0.13701185603013025,0.029577962183677108,0.05111402359108781,0.1014414908721508,0.02962962962962963,0.43637042232952206,0.18065166698178609,1.0343196656898819,0.08458390177353342,0.5711422617824188,0.3905540417801998
NewYork,463.0,510.0,57.0,2.203023758099352,19.690368666610567,0.004768449692855741,0.02789262573279852,0.10367170626349892,0.5780834294502114,0.004768449692855741,0.04054309905989278,0.0543829955593062,0.012608701263355192,0.002551474187293363,0.17046078560852984,0.21527913438403343,0.043882978723404256,0.07391707389382446,0.02789262573279852,0.3510461106180847,0.13135560919832295,0.5980902089387924,0.05211726384364821,0.6118525646978501,0.368763557483731
Budapest,48.0,48.0,19.0,2.0,7.662234042553192,0.0425531914893617,0.0,0.020833333333333332,0.5494791666666666,0.04255319148936171,0.14483117483811284,0.13958054190785155,0.08302002263352566,0.02368597011647539,-0.14202049780380668,0.023138297872340424,0.0,0.2030103284278931,0.0,0.3818813079129867,0.13194444444444445,0.5833333333333334,0.01098901098901099,0.46304890219560874,0.34782608695652173
